P1265      # milk              # M          # 2011-05-14          # 2012-06-19          # 2.80              # 60         
P6592      # onigiri           # L          # 2023-09-24          # 2023-09-24          # 3.40              # 32         
P8572      # sausage           # M          # 2011-06-18          # 2013-04-23          # 2.00              # 39         
P0083      # rice              # S          # 2023-09-24          # 2023-09-24          # 9.12              # 58         
P5496      # drugs             # M          # 2023-08-12          # 2027-04-27          # 12.30             # 1          
P2094      # battery           # S          # 2006-12-13          # 2035-06-23          # 5.67              # 65         
P7023      # phone             # L          # 2023-05-13          # 2090-08-21          # 133.65            # 36         
P6694      # banana            # S          # 2023-09-24          # 2023-09-24          # 2.30              # 2          
P0332      # lipstick          # S          # 2010-02-26          # 2012-04-18          # 35.65             # 42         
P1144      # oil               # M          # 2019-09-18          # 2025-06-26          # 12.60             # 2          
P6635      # mask              # L          # 2023-09-30          # 2023-09-30          # 3.00              # 1          
